35,41,42,38
39,41,35,45
30,46,31,42
37,43,58,36
55,48,50,60
35,48,50,41
58,40,58,59
44,48,34,53
53,39,47,53
60,30,52,43
39,39,37,59
52,55,31,30
58,47,38,54
43,49,45,40
55,38,60,37
33,36,51,47
55,33,34,54
47,41,42,56
50,46,43,49
39,48,45,30
34,55,45,32
53,37,56,55
38,52,39,33
37,60,53,59
34,57,35,55
49,36,38,30
32,40,53,45
45,53,55,37
49,58,40,60
44,30,54,53
53,31,47,43
33,30,54,59
43,36,50,51
36,32,42,57
51,41,37,43
38,41,42,41
50,60,34,37
37,43,34,55
46,58,48,30
43,40,53,58
47,37,55,54
40,58,50,30
42,31,60,58
39,54,48,49
31,32,42,58
37,32,40,52
30,39,48,52
36,32,37,37
46,52,45,35
47,40,50,52
46,52,35,43
47,48,31,51
50,40,30,53
59,54,55,51
37,30,55,49
55,47,44,43
50,50,41,36
43,54,57,45
54,57,39,32
37,51,35,34
35,54,51,38
43,57,47,47
45,43,38,44
43,53,46,58
40,43,33,50
32,44,44,30
59,41,33,51
59,31,32,50
49,46,52,30
59,58,53,48
58,60,40,38
43,33,30,38
50,43,48,45
39,30,42,49
54,47,40,50
42,45,60,57
44,49,49,57
56,41,52,37
33,51,45,44
58,49,32,34
34,30,49,33
54,49,35,60
36,45,37,35
45,47,53,30
40,40,32,54
32,60,47,34
30,58,50,44
47,37,33,47
58,52,36,39
40,43,36,55
36,46,46,48
60,42,39,52
30,52,53,46
49,39,46,58
49,45,40,57
34,53,44,51
44,58,33,54
54,46,44,52
45,37,58,44
43,45,55,51
50,55,56,51
48,44,59,42
35,52,57,52
42,42,54,57
56,42,37,53
37,59,41,42
48,36,57,46
59,35,32,31
41,56,54,35
39,50,55,57
41,31,48,60
30,56,50,60
37,30,52,32
50,33,36,42
37,36,49,45
46,59,36,43
34,53,52,32
56,58,55,40
51,39,39,55
54,43,52,59
50,42,48,40
41,39,34,46
46,60,49,40
50,55,33,39
47,32,51,59
34,43,44,46
57,38,58,32
33,43,39,55
34,34,38,48
31,36,49,44
38,55,37,46
35,32,32,58
44,41,56,40
56,38,51,56
46,58,35,39
43,38,40,41
52,36,30,44
34,53,41,33
57,30,44,57
47,36,56,30
52,31,36,34
48,57,58,35
50,36,48,60
55,48,44,37
51,46,37,59
41,59,57,56
44,38,60,38
38,46,60,53
32,58,30,37
42,47,56,31
40,58,39,41
35,47,35,55
40,52,50,55
54,44,53,56
51,47,40,38
46,51,49,42
55,43,46,34
54,52,57,48
34,33,56,42
32,42,30,30
59,45,34,56
40,42,48,60
57,35,46,30
58,41,42,41
33,42,54,60
45,51,49,43
31,34,37,58
33,32,32,40
44,48,36,36
56,46,56,47
60,35,56,36
57,51,38,38
35,35,37,44
35,39,44,31
57,49,43,60
41,44,39,33
33,33,52,31
33,46,58,35
30,35,59,48
44,37,36,58
50,40,30,44
57,59,48,34
59,54,37,58
52,59,53,37
56,57,58,40
42,47,37,57
37,58,49,54
49,30,42,60
36,49,30,60
52,35,57,39
52,42,50,43
52,36,48,59
59,48,50,56
47,32,49,55
59,43,41,49
52,45,37,46
58,49,57,59
41,49,45,36
54,56,52,41
35,31,59,45
49,32,52,43
49,40,52,43
37,48,38,42
46,47,41,54
36,30,46,31
48,53,37,50
44,34,56,30
31,46,54,51
52,32,60,51
34,33,46,52
48,31,41,41
55,50,42,34
43,30,55,38
37,37,52,31
56,37,32,34
35,59,52,37
48,42,43,60
30,51,48,59
58,37,58,45
55,39,53,31
31,43,50,36
51,57,36,50
31,31,60,51
47,48,36,58
41,48,33,49
32,33,30,40
30,31,35,30
35,44,38,41
42,54,46,59
30,30,39,54
51,55,57,44
33,60,34,60
59,30,55,43
54,36,49,40
55,55,30,38
31,52,36,31
49,37,57,43
33,58,45,59
32,45,59,49
30,56,48,38
56,32,60,55
30,47,58,44
49,39,50,54
38,54,60,44
48,54,52,34
39,58,30,56
51,57,40,51
52,31,53,36
35,41,37,31
39,37,35,36
53,52,40,37
35,36,54,53
58,34,32,40
50,30,46,60
33,58,44,42
57,51,55,46
49,52,35,47
40,41,44,57
31,38,34,37
30,45,31,37
31,60,44,43
41,59,51,34
42,56,51,52
56,48,35,56
33,42,39,33
55,35,31,42
39,41,53,53
30,45,58,38
58,36,47,48
30,56,50,50
36,31,46,55
50,55,49,60
30,40,45,51
31,31,55,36
56,42,46,48
43,43,54,42
56,49,37,32
45,35,36,30
34,32,49,44
31,30,60,35
37,46,48,48
56,30,41,39
35,31,31,52
49,60,48,47
47,48,37,59
51,48,44,42
57,39,34,43
53,49,57,35
59,30,48,31
50,44,39,34
52,55,49,57
56,54,58,38
53,43,42,44
47,41,38,59
40,53,54,55
48,48,35,45
40,44,51,49
51,39,40,43
48,53,43,59
50,31,52,44
55,45,59,38
47,38,31,52
32,52,31,38
49,37,46,53
43,60,46,30
40,37,33,55
41,51,41,40
32,51,31,41
57,32,40,57
35,56,33,41
33,52,31,43
57,58,54,47
38,36,34,36
42,39,35,45
50,57,56,37
41,32,30,44
41,48,42,30
35,45,39,56
50,45,31,50
35,32,55,58
49,41,47,35
43,45,40,60
59,47,47,44
37,47,48,52
59,30,37,59
53,58,50,33
41,32,53,38
35,48,58,50
39,32,32,49
43,35,55,52
34,41,41,59
42,55,30,48
38,49,40,53
49,59,55,41
60,48,49,38
54,58,30,48
52,60,56,54
49,52,40,41
50,39,37,36
60,33,48,42
39,40,57,31
51,51,40,36
39,34,52,53
57,38,51,53
48,40,51,33
59,44,50,41
58,51,39,40
32,50,41,46
56,43,40,33
41,58,40,51
32,42,40,52
58,48,38,60
30,43,48,36
50,41,54,50
49,42,34,43
55,38,33,35
57,60,59,32
57,30,37,55
58,58,59,38
57,31,59,34
36,58,31,52
39,33,44,50
33,53,49,58
43,58,54,56
49,34,45,41
34,42,50,56
36,49,46,45
34,40,36,56
34,55,60,33
30,36,48,39
48,55,46,40
47,48,50,52
30,36,59,58
43,30,57,30
56,48,52,50
56,56,31,35
43,38,48,58
59,48,36,57
51,47,60,48
53,36,53,34
35,59,53,32
49,53,34,47
51,43,40,54
49,56,47,30
38,38,50,44
34,48,52,54
51,37,59,53
40,55,53,60
56,43,60,41
40,40,54,54
45,55,34,41
57,55,43,36
32,33,59,40
34,58,33,35
48,36,43,44
44,39,36,57
46,50,53,33
37,36,51,30
48,56,39,39
58,33,48,51
45,31,37,55
38,37,49,31
37,60,33,59
37,59,57,39
57,49,38,56
37,34,43,60
39,45,54,44
55,56,51,52
30,49,49,51
57,31,38,44
40,51,60,45
48,33,56,33
59,37,52,54
53,40,40,38
42,48,37,53
38,59,53,44
32,60,57,33
53,46,40,34
46,45,54,60
60,40,55,56
50,32,43,45
53,38,33,50
46,53,45,56
44,53,55,54
53,47,50,54
45,33,39,44
50,32,60,42
55,30,31,32
43,41,56,54
49,52,41,58
39,45,43,53
38,57,36,55
45,55,39,44
54,48,31,36
58,41,50,44
39,40,33,47
45,33,45,36
60,40,35,50
55,57,52,43
54,56,44,45
34,46,56,49
39,49,54,48
54,53,50,44
